Country,code2,code,Rank-2015,Happiness-Score-2015,GDP-2015,Social-Support-2015,Healthy-Life-Expectancy-2015,Freedom-2015,Trust-2015,Generosity-2015,Dystopia-2015,Region,Rank-2016,Happiness-Score-2016,GDP-2016,Social-Support-2016,Healthy-Life-Expectancy-2016,Freedom-2016,Trust-2016,Generosity-2016,Dystopia-2016,Rank-2017,Happiness-Score-2017,GDP-2017,Social-Support-2017,Healthy-Life-Expectancy-2017,Freedom-2017,Generosity-2017,Trust-2017,Dystopia-2017,Rank-2018,Happiness-Score-2018,GDP-2018,Social-Support-2018,Healthy-Life-Expectancy-2018,Freedom-2018,Generosity-2018,Trust-2018,Dystopia-2018,Rank-2019,Happiness-Score-2019,GDP-2019,Social-Support-2019,Healthy-Life-Expectancy-2019,Freedom-2019,Generosity-2019,Trust-2019,Dystopia-2019,Rank-2020,Happiness-Score-2020,GDP-2020,Social-Support-2020,Healthy-Life-Expectancy-2020,Freedom-2020,Generosity-2020,Trust-2020,Dystopia-2020,Rank-2021,Happiness-Score-2021,GDP-2021,Social-Support-2021,Healthy-Life-Expectancy-2021,Freedom-2021,Generosity-2021,Trust-2021,Dystopia-2021,Rank-2022,Happiness-Score-2022,Dystopia-2022,GDP-2022,Social-Support-2022,Healthy-Life-Expectancy-2022,Freedom-2022,Generosity-2022,Trust-2022,Rank-2023,Happiness-Score-2023,GDP-2023,Social-Support-2023,Healthy-Life-Expectancy-2023,Freedom-2023,Generosity-2023,Trust-2023,Dystopia-2023,Avg-Happiness-Score
Ghana,gh,GHA,114,4.633,0.54558,0.67954,0.40132,0.42342,0.04355,0.23087,2.30919,Sub-Saharan Africa,124,4.276,0.63107,0.49353,0.29681,0.40973,0.0326,0.21203,2.2002,131,4.119999886,0.667224824,0.873664737,0.295637727,0.423026294,0.256923944,0.02533637,1.577867508,108,4.657,0.592,0.896,0.337,0.499,0.212,0.029,2.092,98,4.996,0.611,0.868,0.486,0.381,0.245,0.04,2.365,91,5.147999763,0.575862467,0.96636796,0.432162255,0.477290064,0.261291206,0.056570381,2.378437281,95,5.088,0.68,0.595,0.287,0.517,0.268,0.058,2.684,111,4872.00,1972.00,1112.00,595.00,409.00,500.00,230,56,107,4.605,1.101,0.756,0.197,0.526,0.211,0.035,1.779,4.690374956
Zimbabwe,zw,ZWE,115,4.61,0.271,1.03276,0.33475,0.25861,0.08079,0.18987,2.44191,Sub-Saharan Africa,131,4.193,0.35041,0.71478,0.1595,0.25429,0.08582,0.18503,2.4427,138,3.875,0.375846535,1.083095908,0.196763754,0.336384207,0.189143494,0.095375381,1.597970247,144,3.692,0.357,1.094,0.248,0.406,0.132,0.099,1.356,146,3.663,0.366,1.114,0.433,0.361,0.151,0.089,1.149,151,3.299200058,0.425564021,1.047835231,0.375037611,0.37740472,0.151349187,0.080928579,0.841031075,148,3.145,0.457,0.649,0.243,0.359,0.157,0.075,1.205,144,2995.00,548.00,947.00,690.00,270.00,329.00,106,105,134,3.204,0.758,0.881,0.069,0.363,0.112,0.117,0.905,3.710150007
Liberia,lr,LBR,116,4.571,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362,2.77729,Sub-Saharan Africa,150,3.622,0.10706,0.50353,0.23165,0.25748,0.04852,0.24063,2.23284,148,3.532999992,0.119041793,0.872117937,0.229918197,0.332881182,0.266549885,0.038948249,1.673285961,149,3.495,0.076,0.858,0.267,0.419,0.206,0.03,1.639,141,3.975,0.073,0.922,0.443,0.37,0.233,0.033,1.901,124,4.557899952,0.174103007,0.920733929,0.392284274,0.405943096,0.226967871,0.051139876,2.386757851,120,4.625,0.228,0.58,0.253,0.43,0.221,0.057,2.857,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,125,4.042,0.628,0.644,0.141,0.471,0.219,0.071,1.869,4.052612493
India,in,IND,117,4.565,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475,2.27513,Southern Asia,118,4.404,0.74036,0.29247,0.45091,0.40285,0.08722,0.25028,2.18032,122,4.315000057,0.792221248,0.754372597,0.455427617,0.469987005,0.231538489,0.092226885,1.519117117,133,4.19,0.721,0.747,0.485,0.539,0.172,0.093,1.433,140,4.015,0.755,0.765,0.588,0.498,0.2,0.085,1.124,144,3.573299885,0.730576158,0.644198656,0.54057014,0.581142247,0.237072483,0.105587982,0.734130859,139,3.819,0.741,0.316,0.383,0.622,0.246,0.106,1.405,136,3777.00,795.00,1167.00,376.00,471.00,647.00,198,123,126,4.036,1.159,0.674,0.252,0.685,0.175,0.111,0.979,4.114662493
Sudan,sd,SDN,118,4.55,0.52107,1.01404,0.36878,0.10081,0.1466,0.19062,2.20857,Sub-Saharan Africa,133,4.139,0.63069,0.81928,0.29759,0,0.10039,0.18077,2.10995,130,4.138999939,0.659516692,1.21400857,0.290920824,0.014995855,0.182317451,0.08984752,1.68706584,137,4.139,0.605,1.24,0.312,0.016,0.134,0.082,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,2.120874992
Haiti,ht,HTI,119,4.518,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,2.24173,Latin America and Caribbean,136,4.028,0.34097,0.29561,0.27494,0.12072,0.14476,0.47958,2.37116,145,3.602999926,0.368610263,0.640449822,0.27732113,0.030369857,0.489203781,0.09987215,1.697167635,148,3.582,0.315,0.714,0.289,0.025,0.392,0.104,1.743,147,3.597,0.323,0.688,0.449,0.026,0.419,0.11,1.582,142,3.720799923,0.284734428,0.646671355,0.37436673,0.169297516,0.463909656,0.161935672,1.619916916,143,3.615,0.294,0.173,0.227,0.257,0.463,0.139,2.06,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,3.332974981
Congo (Kinshasa),cd,COD,120,4.517,0,1.0012,0.09806,0.22605,0.07625,0.24834,2.86712,Sub-Saharan Africa,125,4.272,0.05661,0.80676,0.188,0.15602,0.06075,0.25458,2.74924,126,4.28000021,0.092102349,1.229023457,0.191407025,0.235961348,0.246455833,0.060241356,2.224958658,132,4.245,0.069,1.136,0.204,0.312,0.197,0.052,2.275,127,4.418,0.094,1.125,0.357,0.269,0.212,0.053,2.308,131,4.31099987,0.062487468,0.833055019,0.277212054,0.36462298,0.254324883,0.081466645,2.437864304,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,133,3.207,0.531,0.784,0.105,0.375,0.183,0.068,1.162,3.65625001
Nepal,np,NPL,121,4.514,0.35997,0.86449,0.56874,0.38282,0.05907,0.32296,1.95637,Southern Asia,107,4.793,0.44626,0.69699,0.50073,0.37012,0.07008,0.3816,2.32694,99,4.961999893,0.479820192,1.179283261,0.504130781,0.440305948,0.394096166,0.072975546,1.891241074,101,4.88,0.425,1.228,0.539,0.526,0.302,0.078,1.782,100,4.913,0.446,1.226,0.677,0.439,0.285,0.089,1.751,92,5.137199879,0.444050372,1.100789309,0.66887939,0.480608255,0.300971806,0.127502963,2.014386892,87,5.269,0.519,0.702,0.496,0.488,0.287,0.135,2.642,84,5377.00,2224.00,984.00,784.00,499.00,519.00,237,130,78,5.36,0.979,1.027,0.281,0.567,0.215,0.104,2.187,4.978524972
Ethiopia,et,ETH,122,4.512,0.19073,0.60406,0.44055,0.4345,0.15048,0.24325,2.44876,Sub-Saharan Africa,115,4.508,0.29283,0.37932,0.34578,0.36703,0.1717,0.29522,2.65614,119,4.460000038,0.339233845,0.864669204,0.353409708,0.408842742,0.31265074,0.165455714,2.015743732,127,4.35,0.308,0.95,0.391,0.452,0.22,0.146,1.883,134,4.286,0.336,1.033,0.532,0.344,0.209,0.1,1.732,136,4.186200142,0.315125644,1.001103282,0.483846247,0.41256687,0.227698103,0.117437035,1.628459215,133,4.275,0.37,0.679,0.331,0.451,0.241,0.114,2.089,131,4241.00,1375.00,788.00,809.00,457.00,472.00,205,136,124,4.091,0.793,1.114,0.25,0.451,0.283,0.101,1.099,4.333525023
Sierra Leone,sl,SLE,123,4.507,0.33024,0.95571,0,0.4084,0.08786,0.21488,2.51009,Sub-Saharan Africa,111,4.635,0.36485,0.628,0,0.30685,0.08196,0.23897,3.01402,106,4.709000111,0.368420929,0.984136045,0.005564754,0.318697691,0.293040901,0.071095176,2.668459892,113,4.571,0.256,0.813,0,0.355,0.238,0.053,2.856,129,4.374,0.268,0.841,0.242,0.309,0.252,0.045,2.417,139,3.926399946,0.240560383,0.747984946,0.203953966,0.382027686,0.257647008,0.047940936,2.046271801,138,3.849,0.279,0.377,0.1,0.408,0.243,0.047,2.396,140,3574.00,1556.00,686.00,416.00,273.00,387.00,202,55,135,3.138,0.67,0.54,0.092,0.371,0.193,0.051,1.221,4.213675007
